epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.418,1.0325,1.13088,1.70879,0.60973,0.57425,0.59251,0.3935,1.21037,1.09919,2.08548,0.000474235,0.000474235,0.000474235
2,636.61,1.06452,1.15322,1.73086,0.53304,0.77454,0.63397,0.42415,1.11892,1.04754,1.97741,0.0009192,0.0009192,0.0009192
3,935.22,1.05361,1.14755,1.72192,0.52336,0.7167,0.6092,0.39164,1.2454,1.10773,2.1707,0.00133273,0.00133273,0.00133273
4,1233,1.06575,1.18147,1.7332,0.4937,0.84125,0.66973,0.42517,1.18696,1.04252,2.06664,0.00128753,0.00128753,0.00128753
5,1528.95,1.06186,1.16851,1.73492,0.58997,0.69583,0.73437,0.45623,1.35017,1.02999,2.23893,0.00124037,0.00124037,0.00124037
6,1831.65,1.04349,1.16591,1.72204,0.61238,0.68656,0.70183,0.44101,1.22352,1.05461,2.05695,0.00119322,0.00119322,0.00119322
7,2127.6,1.0338,1.13523,1.71725,0.53795,0.732,0.56545,0.38706,1.10449,1.09168,1.9274,0.00114606,0.00114606,0.00114606
8,2423.22,1.03448,1.1252,1.70552,0.57035,0.68736,0.64625,0.39879,1.37411,1.12329,2.30095,0.0010989,0.0010989,0.0010989
9,2712.19,1.039,1.13266,1.70743,0.58899,0.82564,0.70574,0.43482,1.38553,1.09135,2.50981,0.00105174,0.00105174,0.00105174
10,3007.47,1.01647,1.10988,1.68415,0.64966,0.7139,0.6807,0.46416,1.11978,1.04258,1.95411,0.00100459,0.00100459,0.00100459
11,3276.38,1.01661,1.08901,1.68891,0.48895,0.83248,0.57782,0.37346,1.23427,1.1565,2.09333,0.00095743,0.00095743,0.00095743
12,3547.73,1.01426,1.06625,1.69002,0.63418,0.70317,0.67199,0.46895,1.05939,1.06299,1.88326,0.000910273,0.000910273,0.000910273
13,3816.43,0.997,1.07927,1.65783,0.59415,0.72655,0.65965,0.42242,1.18306,1.05351,2.04463,0.000863116,0.000863116,0.000863116
14,4089.51,0.9971,1.08116,1.66568,0.51987,0.72529,0.59863,0.37428,1.25291,1.18405,2.12477,0.000815959,0.000815959,0.000815959
15,4358.58,0.99316,1.07825,1.64875,0.57171,0.75499,0.66239,0.41731,1.16485,1.08148,2.02672,0.000768802,0.000768802,0.000768802
16,4628.7,0.97859,1.05056,1.63687,0.53106,0.76772,0.62234,0.41718,1.24076,1.01664,2.1167,0.000721645,0.000721645,0.000721645
17,4896.41,0.97265,1.05398,1.63588,0.46737,0.79026,0.61235,0.41653,1.20587,1.06469,2.14583,0.000674488,0.000674488,0.000674488
18,5167.23,0.9572,1.02435,1.62285,0.51126,0.81569,0.61953,0.40503,1.19588,1.1369,2.06682,0.000627331,0.000627331,0.000627331
19,5436.15,0.95731,1.01588,1.6223,0.58039,0.74389,0.63948,0.42491,1.15436,1.01383,2.03571,0.000580174,0.000580174,0.000580174
20,5706.63,0.95161,1.01229,1.61159,0.52615,0.81289,0.66056,0.45146,1.10525,1.04374,1.98267,0.000533017,0.000533017,0.000533017
21,5970.06,0.83812,0.74735,1.43762,0.64218,0.66983,0.63531,0.42538,1.18061,1.07229,2.07671,0.00048586,0.00048586,0.00048586
22,6234.54,0.81657,0.68039,1.37745,0.50783,0.74717,0.68803,0.44161,1.17919,1.08268,2.07792,0.000438703,0.000438703,0.000438703
23,6497.44,0.79661,0.67688,1.37604,0.6153,0.7567,0.71585,0.4523,1.45163,1.07739,2.738,0.000391546,0.000391546,0.000391546
24,6763.3,0.78491,0.67515,1.37191,0.593,0.71055,0.69078,0.44478,1.3027,1.03772,2.2479,0.000344389,0.000344389,0.000344389
25,7025.83,0.7707,0.63612,1.35361,0.62652,0.69848,0.69951,0.46564,1.29739,0.98938,2.32791,0.000297232,0.000297232,0.000297232
26,7291.72,0.76544,0.63103,1.34136,0.58883,0.77932,0.67249,0.48088,1.1254,1.03328,2.06979,0.000250075,0.000250075,0.000250075
27,7555.72,0.75998,0.63038,1.33816,0.54482,0.78406,0.66444,0.44204,1.23882,1.08504,2.23444,0.000202918,0.000202918,0.000202918
28,7821.69,0.75116,0.62093,1.32369,0.65709,0.76802,0.69465,0.44739,1.28477,1.02559,2.31252,0.000155761,0.000155761,0.000155761
29,8084.57,0.74761,0.62343,1.31256,0.50989,0.7538,0.68228,0.44729,1.25756,1.04108,2.29298,0.000108604,0.000108604,0.000108604
30,8349.36,0.72734,0.59405,1.30618,0.57814,0.78536,0.66804,0.43902,1.27216,1.04913,2.32107,6.1447e-05,6.1447e-05,6.1447e-05
