epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1012.75,2.66133,2.57226,2.87145,0.9649,0.912,0.95518,0.5793,1.47518,1.06926,2.00995,0.000665485,0.000665485,0.000665485
2,1989.91,1.35608,0.89403,1.65613,0.94068,0.95143,0.96403,0.6977,1.04031,0.70622,1.52944,0.00106839,0.00106839,0.00106839
3,2957.71,1.14911,0.68315,1.41292,0.98778,0.96975,0.99113,0.7622,0.98322,0.57544,1.45053,0.00120729,0.00120729,0.00120729
4,3937.79,1.0086,0.5862,1.28947,0.97592,0.9727,0.99092,0.80448,0.80948,0.47877,1.20738,0.000812,0.000812,0.000812
5,4937.06,0.89306,0.51606,1.21368,0.98785,0.97565,0.99356,0.82271,0.74825,0.45442,1.2238,0.000416,0.000416,0.000416
