epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.118,1.02919,1.2439,1.65884,0.64431,0.66483,0.70016,0.46848,1.13523,1.0658,1.97944,0.000474235,0.000474235,0.000474235
2,857.804,1.03177,1.24615,1.66503,0.6611,0.67244,0.66119,0.41575,1.15654,1.11061,1.95366,0.0009192,0.0009192,0.0009192
3,1326.99,1.04599,1.24549,1.67352,0.50182,0.85135,0.68216,0.4802,1.08012,1.06282,1.92837,0.00133273,0.00133273,0.00133273
4,1806.73,1.0747,1.27003,1.69479,0.43065,0.74954,0.59362,0.37536,1.31968,1.17306,2.25614,0.00128753,0.00128753,0.00128753
5,2240.24,1.05683,1.23814,1.69188,0.54961,0.73661,0.65623,0.45483,1.0448,1.06586,1.88532,0.00124037,0.00124037,0.00124037
6,2504.66,1.04481,1.23014,1.67528,0.57813,0.70378,0.6978,0.43663,1.20071,1.15585,2.05364,0.00119322,0.00119322,0.00119322
7,2758.93,1.01783,1.20352,1.65305,0.47112,0.79235,0.6663,0.45142,1.10018,1.11302,1.97207,0.00114606,0.00114606,0.00114606
8,3012.53,1.01438,1.20881,1.64846,0.50283,0.77079,0.70289,0.49158,1.04426,1.04864,1.91346,0.0010989,0.0010989,0.0010989
9,3265.21,1.02039,1.21448,1.65158,0.54703,0.61338,0.66739,0.46703,1.06534,1.11618,1.90462,0.00105174,0.00105174,0.00105174
10,3518.4,0.99495,1.16673,1.62331,0.51774,0.77673,0.70497,0.46446,1.14337,1.16671,2.00554,0.00100459,0.00100459,0.00100459
11,3771.49,0.98974,1.17425,1.62809,0.55542,0.77719,0.70184,0.50837,1.04203,1.07712,1.90637,0.00095743,0.00095743,0.00095743
12,4023.76,0.99681,1.14078,1.62039,0.58224,0.78804,0.6936,0.49397,1.00567,1.07294,1.88278,0.000910273,0.000910273,0.000910273
13,4275.51,0.9697,1.11453,1.59532,0.56823,0.6624,0.67853,0.46028,1.0388,1.01568,1.90288,0.000863116,0.000863116,0.000863116
14,4527.85,0.97342,1.13023,1.60479,0.61486,0.67665,0.71919,0.48217,1.04089,1.03761,1.89268,0.000815959,0.000815959,0.000815959
15,4782.67,0.96001,1.12059,1.57921,0.54405,0.75344,0.69061,0.47769,0.99961,0.99808,1.85893,0.000768802,0.000768802,0.000768802
16,5040.12,0.96063,1.10523,1.57521,0.66053,0.73661,0.75691,0.49492,1.21595,1.0277,2.23951,0.000721645,0.000721645,0.000721645
17,5298.34,0.94943,1.07639,1.56872,0.57107,0.73107,0.65482,0.43869,1.06088,1.03084,1.95274,0.000674488,0.000674488,0.000674488
18,5553.88,0.91245,1.04103,1.54522,0.49429,0.857,0.64119,0.43642,1.0677,1.02971,1.92767,0.000627331,0.000627331,0.000627331
19,5811.18,0.92951,1.06728,1.55749,0.52873,0.74505,0.68764,0.47547,1.05931,1.02925,1.95277,0.000580174,0.000580174,0.000580174
20,6070.4,0.91017,1.05598,1.53391,0.56504,0.75075,0.6645,0.47423,1.02231,0.99277,1.89292,0.000533017,0.000533017,0.000533017
21,6324.69,0.84909,0.85328,1.34259,0.529,0.7627,0.65803,0.45575,1.08938,1.00396,1.9992,0.00048586,0.00048586,0.00048586
22,6576.22,0.81015,0.79865,1.28469,0.57009,0.70338,0.68782,0.46553,1.07608,1.10359,1.99777,0.000438703,0.000438703,0.000438703
23,6844.78,0.80951,0.78061,1.30352,0.61356,0.79543,0.74135,0.47877,1.18267,0.98153,2.23392,0.000391546,0.000391546,0.000391546
24,7110.88,0.77808,0.76037,1.26895,0.53215,0.72204,0.66149,0.4607,1.14418,1.03874,2.10978,0.000344389,0.000344389,0.000344389
25,7375.58,0.77279,0.73434,1.25711,0.65276,0.65933,0.66658,0.44272,1.13715,0.98964,2.11139,0.000297232,0.000297232,0.000297232
26,7642.5,0.75279,0.71009,1.23259,0.57026,0.74028,0.68883,0.45975,1.11162,0.97068,2.06266,0.000250075,0.000250075,0.000250075
27,7905.11,0.74915,0.70974,1.23613,0.50433,0.75724,0.68094,0.44265,1.19335,0.99632,2.23941,0.000202918,0.000202918,0.000202918
28,8160.6,0.74099,0.70519,1.21815,0.55206,0.70337,0.68397,0.45718,1.13549,0.94766,2.07515,0.000155761,0.000155761,0.000155761
29,8417.72,0.73925,0.68951,1.20861,0.53179,0.76879,0.6699,0.44805,1.12477,0.96227,2.09833,0.000108604,0.000108604,0.000108604
30,8681.82,0.71419,0.66433,1.20409,0.61841,0.63125,0.68846,0.45306,1.15404,0.97541,2.15006,6.1447e-05,6.1447e-05,6.1447e-05
